item,EUROC,UZH_FPV,compatible,fixed_conversion_required,target_fitted_information_required,severity,evidence,recommendation
data provenance,ETH Zurich ASL / Research Collection DOI 10.3929/ethz-b-000690084,UZH RPG official v3 Snapdragon zips,YES_BOTH_OFFICIAL,NO,NO,INFO,VERIFIED_FROM_OFFICIAL_WEB,retain both official sources
platform class,research hex-rotor MAV (Asctec Firefly),racing quadrotor with Snapdragon IMU,COMPARABLE_AS_UAV_INERTIAL_DOMAIN,NO,NO,INFO,VERIFIED_FROM_DATASET_PAPER,"treat as distinct platforms; valuable for transfer, not a defect"
vehicle type,hex-rotor,quadrotor (racing),DIFFERENT_ROTOR_COUNT,NO,NO,INFO,VERIFIED_FROM_DATASET_PAPER,document; do not force identical dynamics
sensor hardware,ADIS16448,Qualcomm Snapdragon Flight IMU (/snappy_imu),DIFFERENT_HARDWARE_SAME_MEASURAND_CLASS,NO,NO,INFO,VERIFIED_FROM_OFFICIAL_WEB; VERIFIED_FROM_RAW_FILE,do not mix DAVIS IMU with Snapdragon; do not mix EuRoC stereo cameras as IMU
accelerometer physical quantity,RAW_ACCELEROMETER_SPECIFIC_FORCE,RAW_ACCELEROMETER_SPECIFIC_FORCE,DIRECT,NO,NO,INFO,EuRoC header a_RS_S + rest-norm + official MATLAB accelerometer labels; UZH Stage-0 file audit,common physical quantity is accelerometer specific force if both remain RAW_*
accelerometer unit,m/s^2,m/s^2,DIRECT,NO,NO,INFO,EuRoC CSV header tokens; UZH via official sensor_msgs/Imu + zip/bag identity,no data-driven scale factor
gyro physical quantity,angular velocity w_RS_S (sensor frame),angular velocity ang_vel_* (Snapdragon IMU frame S),DIRECT,NO,NO,INFO,VERIFIED_FROM_RAW_FILE,same measurand class; axes not automatically aligned
gyro unit,rad/s,rad/s,DIRECT,NO,NO,INFO,EuRoC header rad s^-1; UZH ROS Imu,no fitted scale
IMU frame,S (IMU/sensor); a_RS_S / w_RS_S,S (Snapdragon IMU); paper Fig 6,SAME_NAMING_DIFFERENT_PHYSICAL_AXES,YES_IF_COMMON_AXES_REQUIRED,NO,MAJOR,dataset-specific calibrations; no official EuRoC<->UZH axis identity,keep native frames or use a documented invariant; never learn alignment on target test data
body transform,T_BS maps sensor-frame coordinates to body-frame coordinates (S -> B),Kalibr T_cam_imu to camera C; vehicle-body CAD UNRESOLVED,NOT_A_SHARED_BODY_FRAME,EUROC_ONLY_FOR_BODY_B,NO,MAJOR,EuRoC sensor.yaml T_BS; UZH Stage-0 FRAME_AUDIT,do not invent a UZH vehicle body; do not fit a cross-dataset rotation
