dataset,sequence_id,environment,room_or_location,difficulty,platform,imu_available,stereo_available,gt_available,gt_type,gt_dimensions,calibration_available,official_archive,official_download_available,archive_size_bytes,official_evidence,notes
EUROC,V1_01_easy,vicon,vicon_room1,easy,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room1.zip,YES,6042263426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,V1_02_medium,vicon,vicon_room1,medium,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room1.zip,YES,6042263426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,V1_03_difficult,vicon,vicon_room1,difficult,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room1.zip,YES,6042263426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,V2_01_easy,vicon,vicon_room2,easy,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room2.zip,YES,6013384949,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,V2_02_medium,vicon,vicon_room2,medium,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room2.zip,YES,6013384949,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,V2_03_difficult,vicon,vicon_room2,difficult,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Vicon_6DoF_pose_plus_postprocessed_state_estimate,6DoF_pose_documented; state_estimate_fields_file_verified_after_download,YES_IN_SEQUENCE_ASL_YAML,vicon_room2.zip,YES,6013384949,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Phase A Vicon bundle. Inner sequence zip+bag; bags not extracted.
EUROC,MH_01_easy,machine_hall,ETH_machine_hall,easy,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Leica_MS50_3D_position_plus_postprocessed_state_estimate,3D_position_from_tracker; orientation_not_a_direct_Leica_measurand,YES_IN_SEQUENCE_ASL_YAML,machine_hall.zip,YES_OPTIONAL_NOT_IN_PHASE_A,12683729426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Machine Hall optional in Stage 0C; not downloaded under 15 GiB Vicon-first policy.
EUROC,MH_02_easy,machine_hall,ETH_machine_hall,easy,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Leica_MS50_3D_position_plus_postprocessed_state_estimate,3D_position_from_tracker; orientation_not_a_direct_Leica_measurand,YES_IN_SEQUENCE_ASL_YAML,machine_hall.zip,YES_OPTIONAL_NOT_IN_PHASE_A,12683729426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Machine Hall optional in Stage 0C; not downloaded under 15 GiB Vicon-first policy.
EUROC,MH_03_medium,machine_hall,ETH_machine_hall,medium,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Leica_MS50_3D_position_plus_postprocessed_state_estimate,3D_position_from_tracker; orientation_not_a_direct_Leica_measurand,YES_IN_SEQUENCE_ASL_YAML,machine_hall.zip,YES_OPTIONAL_NOT_IN_PHASE_A,12683729426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Machine Hall optional in Stage 0C; not downloaded under 15 GiB Vicon-first policy.
EUROC,MH_04_difficult,machine_hall,ETH_machine_hall,difficult,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Leica_MS50_3D_position_plus_postprocessed_state_estimate,3D_position_from_tracker; orientation_not_a_direct_Leica_measurand,YES_IN_SEQUENCE_ASL_YAML,machine_hall.zip,YES_OPTIONAL_NOT_IN_PHASE_A,12683729426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Machine Hall optional in Stage 0C; not downloaded under 15 GiB Vicon-first policy.
EUROC,MH_05_difficult,machine_hall,ETH_machine_hall,difficult,Asctec Firefly hex-rotor + VI-Sensor (ADIS16448),YES_DOCUMENTED,YES_DOCUMENTED,YES_DOCUMENTED,Leica_MS50_3D_position_plus_postprocessed_state_estimate,3D_position_from_tracker; orientation_not_a_direct_Leica_measurand,YES_IN_SEQUENCE_ASL_YAML,machine_hall.zip,YES_OPTIONAL_NOT_IN_PHASE_A,12683729426,VERIFIED_FROM_OFFICIAL_WEB; ETH Research Collection bitstream + zip.json preview,Machine Hall optional in Stage 0C; not downloaded under 15 GiB Vicon-first policy.
