sequence_id,environment,room,difficulty,platform,sensor_rig,recording_id,duration_s,imu_available,gt_available,gt_type,calibration_available,independent_recording,potential_dependency_group,independence_confidence,usable_status,exclusion_reason
V1_01_easy,vicon,vicon_room1,easy,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V1_01_easy,145.5950001,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM1,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
V1_02_medium,vicon,vicon_room1,medium,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V1_02_medium,85.49499981,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM1,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
V1_03_difficult,vicon,vicon_room1,difficult,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V1_03_difficult,107.4949998,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM1,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
V2_01_easy,vicon,vicon_room2,easy,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V2_01_easy,113.9950001,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM2,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
V2_02_medium,vicon,vicon_room2,medium,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V2_02_medium,117.4450002,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM2,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
V2_03_difficult,vicon,vicon_room2,difficult,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,V2_03_difficult,116.8450002,YES,YES,POSTPROCESSED_STATE_ESTIMATE,YES,YES,EUROC_FIREFLY_VICON_ROOM2,HIGH as separate flights; MEDIUM as same MAV/sensor/room family,USABLE_PRIMARY,
MH_01_easy,machine_hall,ETH_machine_hall,easy,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,MH_01_easy,,NOT_DOWNLOADED,DOCUMENTED_LEICA_3D_PLUS_POSTPROCESSED_STATE,LEICA_MS50_3D_POSITION_NOT_DIRECT_6DOF,DOCUMENTED_IN_OFFICIAL_ARCHIVES,YES,EUROC_FIREFLY_MACHINE_HALL,HIGH as separate flights; MEDIUM same MAV/hall,NOT_DOWNLOADED,Machine Hall optional; not acquired in Stage 0C Phase A
MH_02_easy,machine_hall,ETH_machine_hall,easy,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,MH_02_easy,,NOT_DOWNLOADED,DOCUMENTED_LEICA_3D_PLUS_POSTPROCESSED_STATE,LEICA_MS50_3D_POSITION_NOT_DIRECT_6DOF,DOCUMENTED_IN_OFFICIAL_ARCHIVES,YES,EUROC_FIREFLY_MACHINE_HALL,HIGH as separate flights; MEDIUM same MAV/hall,NOT_DOWNLOADED,Machine Hall optional; not acquired in Stage 0C Phase A
MH_03_medium,machine_hall,ETH_machine_hall,medium,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,MH_03_medium,,NOT_DOWNLOADED,DOCUMENTED_LEICA_3D_PLUS_POSTPROCESSED_STATE,LEICA_MS50_3D_POSITION_NOT_DIRECT_6DOF,DOCUMENTED_IN_OFFICIAL_ARCHIVES,YES,EUROC_FIREFLY_MACHINE_HALL,HIGH as separate flights; MEDIUM same MAV/hall,NOT_DOWNLOADED,Machine Hall optional; not acquired in Stage 0C Phase A
MH_04_difficult,machine_hall,ETH_machine_hall,difficult,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,MH_04_difficult,,NOT_DOWNLOADED,DOCUMENTED_LEICA_3D_PLUS_POSTPROCESSED_STATE,LEICA_MS50_3D_POSITION_NOT_DIRECT_6DOF,DOCUMENTED_IN_OFFICIAL_ARCHIVES,YES,EUROC_FIREFLY_MACHINE_HALL,HIGH as separate flights; MEDIUM same MAV/hall,NOT_DOWNLOADED,Machine Hall optional; not acquired in Stage 0C Phase A
MH_05_difficult,machine_hall,ETH_machine_hall,difficult,Asctec Firefly hex-rotor,VI-Sensor stereo + ADIS16448 IMU,MH_05_difficult,,NOT_DOWNLOADED,DOCUMENTED_LEICA_3D_PLUS_POSTPROCESSED_STATE,LEICA_MS50_3D_POSITION_NOT_DIRECT_6DOF,DOCUMENTED_IN_OFFICIAL_ARCHIVES,YES,EUROC_FIREFLY_MACHINE_HALL,HIGH as separate flights; MEDIUM same MAV/hall,NOT_DOWNLOADED,Machine Hall optional; not acquired in Stage 0C Phase A
