claim_id,candidate_claim,analysis_type,supporting_file,supporting_metric,support_level,limitations,safe_wording,unsafe_wording
C1,Frame-invariant q_f permits comparison without fitting an axis alignment.,PRIMARY/design,PROTOCOL_LOCK.md; results/stage0c/EUROC_UZH_COMPATIBILITY.csv,representation lock; MAJOR frame rows avoided by magnitude,SUPPORTED with limits,Invariant only to a fixed orthonormal sensor rotation; does not remove all sensor/platform differences; loses direction.,A rotation-invariant specific-force magnitude avoids data-driven cross-dataset axis alignment for this scalar forecasting task.,The approach is invariant to all sensor differences.
C2,Learned forecasting improves over Persistence within both datasets.,PRIMARY,results/stage4/TABLE_PRIMARY_RESULTS.csv,skill_vs_persistence > 0 for Ridge and advanced models within both datasets,SUPPORTED,n=6/8; linear extrapolation is worse than Persistence and is supplementary.,Learned methods improve over Persistence in both datasets.,Deep learning significantly outperforms all classical methods.
C3,Ridge remains competitive with compact nonlinear models.,PRIMARY,results/stage4/TABLE_ADVANCED_VS_RIDGE.csv,within-EuRoC advanced Δ≥0; mixed transfer,SUPPORTED,UZH Transformer is a within-domain exception.,Regularized Ridge is highly competitive with these compact nonlinear models.,Deep learning significantly outperforms linear forecasting.
C4,Advanced-model gains are domain dependent.,PRIMARY,results/stage4/EVIDENCE_STRENGTH_CLASSIFICATION.csv,CLEAR gain only within UZH Transformer; EuRoC no gain,SUPPORTED,Only two datasets.,Advanced-model gains vary by domain.,Transformer is the best model.
C5,No architecture dominates all contexts.,PRIMARY,results/stage4/KEY_FINDINGS_VERIFICATION.md,context-wise winners differ,SUPPORTED,Five compact comparators only.,No architecture dominated across all evaluation contexts.,TCN is universally superior.
C6,Zero-shot transfer is feasible without target-domain fitted adaptation.,PRIMARY,results/stage3/TARGET_LEAKAGE_AUDIT.csv,target_dataset_access_during_fit=NO for all objects; transfer RMSE < Persistence,SUPPORTED,Feasible ≠ lossless; datasets were audited before evaluation.,Zero-shot transfer remains feasible without fitting target-domain normalization or alignment.,The target dataset was unseen throughout the entire study.
C7,Transfer generally incurs degradation relative to corresponding within-target performance.,SECONDARY,results/stage4/TRANSFER_GAP_FINAL.csv,positive transfer gaps for all learned models,SUPPORTED,Descriptive gap; Persistence has no trained source model so its gap is not analogous.,Learned models show higher error under zero-shot transfer than the corresponding within-target LORO evaluation.,The proposed approach eliminates domain shift.
C8,High-specific-force intervals are more difficult to predict.,SECONDARY,results/stage4/HIGH_QF_PUBLICATION_DATA.csv,"difficulty_ratio >> 1, especially UZH",SUPPORTED,Sparse high-q_f samples; not proven 'extreme maneuvers'.,"High-specific-force target intervals are substantially more difficult to predict, especially for UZH.",The method fails on extreme maneuvers.
C9,q_w provides only modest additional predictive value.,SECONDARY,results/stage4/QW_ABLATION_FINAL.csv,source-val RMSE change of order 0.001–0.012 m/s^2,SUPPORTED,Ablation only on the source-selected architecture per dataset.,The angular-speed magnitude channel provides only a modest auxiliary contribution.,Sensor fusion significantly improves performance.
C10,Compact advanced models have modest computational footprint.,SECONDARY,results/stage4/COMPUTATIONAL_FOOTPRINT_FINAL.csv,params<=26516; median inference <1 ms/window,SUPPORTED,CPU-only timing; no onboard flight test.,All selected models have compact parameter counts and sub-millisecond median inference per prediction window on the reported CPU environment.,The method is suitable for real-time onboard deployment.
